EmployeeNativeID,CompanyCode,Department,EmployeeID,EmployeeFullName,EmployeeCleansedName,EmployeeEmail,EmployeeAddress,EmployeeCity,EmployeeState,EmployeeCountry,EmployeeZipCode,EmployeeStatus,EmploymentType,EmployeeDesignation,HireDate,RehireDate,TerminationDate,Createddate,Createdby,LastUpdateDate,LastUpdateby,ManagerName,ManagerEmail,ManagementLevel,PayRateType,TimeType,CostCenter,Approver,IsExecutive,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
195959,I,Department 8,Employee ID1,Employee Name1,Employee Name1,EmployeeName1@abc.com,Hong Kong,,,Hong Kong,,Y,Regular,National Accountant,11/1/2016,,,,,,,,,,,,3,,No,,,,,
89829,I,Department 6,Employee ID3,Employee Name3,Employee Name3,EmployeeName3@abc.com,Sweden,,,Sweden,,Y,Regular,Account Payable Specialist,6/26/2009,,,,,,,,,,,,8,,No,,,,,
118319,I,Department 4,Employee ID4,Employee Name4,Employee Name4,EmployeeName4@abc.com,Mexico,,,Mexico,,Y,Regular,Warehouse Lead,12/3/2011,,,,,,,,,,,,3,,Yes,,,,,
92490,I,Department 2,Employee ID5,Employee Name5,Employee Name5,EmployeeName5@abc.com,Finland,,,Finland,,Y,Regular,National Accountant,6/26/2009,,,,,,,,,,,,8,,Yes,,,,,
80568,I,Department 9,Employee ID7,Employee Name7,Employee Name7,EmployeeName7@abc.com,United Kingdom,,,United Kingdom,,Y,Regular,Warehouse,6/25/2008,,,,,,,,,,,,2,,No,,,,,
66055,I,Department 7,Employee ID8,Employee Name8,Employee Name8,EmployeeName8@abc.com,Switzerland,,,Switzerland,,Y,Regular,Regional Manager,6/26/2009,,,,,,,,,,,,10,,No,,,,,
18184,I,Department 4,Employee ID9,Employee Name9,Employee Name9,EmployeeName9@abc.com,Lithuania,,,Lithuania,,Y,Regular,Director of Financial Rep,6/26/2009,,,,,,,,,,,,7,,Yes,,,,,
181759,I,Department 5,Employee ID10,Employee Name10,Employee Name10,EmployeeName10@abc.com,Singapore,,,Singapore,,N,Temp,Accounts Receivable,4/18/2016,,4/2/2019,,,,,,,,,,3,,Yes,,,,,
186906,I,Department 8,Employee ID11,Employee Name11,Employee Name11,EmployeeName11@abc.com,United States,,,United States,,Y,Regular,Sr. Credit & Collects Spec,6/27/2016,,,,,,,,,,,,9,,No,,,,,
73530,I,Department 8,Employee ID12,Employee Name12,Employee Name12,EmployeeName12@abc.com,Switzerland,,,Switzerland,,Y,Regular,Clerical,6/25/2008,,,,,,,,,,,,9,,No,,,,,
242601,I,Department 12,Employee ID13,Employee Name13,Employee Name13,EmployeeName13@abc.com,"Korea, Republic of",,,"Korea, Republic of",,Y,Regular,Assistant Operations Manager,1/2/2019,,,,,,,,,,,,3,,Yes,,,,,
96863,I,Department 10,Employee ID17,Employee Name17,Employee Name17,EmployeeName17@abc.com,Norway,,,Norway,,Y,Regular,National Accountant,6/26/2009,,,,,,,,,,,,2,,No,,,,,
151204,I,Department 4,Employee ID18,Employee Name18,Employee Name18,EmployeeName18@abc.com,United States,,,United States,,Y,Regular,Operations Manager,6/2/2015,,,,,,,,,,,,9,,No,,,,,
106596,I,Department 6,Employee ID20,Employee Name20,Employee Name20,EmployeeName20@abc.com,Austria,,,Austria,,Y,Regular,Sr. Credit & Collects Spec,7/16/2010,,,,,,,,,,,,2,,Yes,,,,,
223085,I,Department 14,Employee ID21,Employee Name21,Employee Name21,EmployeeName21@abc.com,Canada,,,Canada,,Y,Regular,Lead Warehouse,2/11/2018,,,,,,,,,,,,3,,No,,,,,
199264,I,Department 2,Employee ID22,Employee Name22,Employee Name22,EmployeeName22@abc.com,Poland,,,Poland,,Y,Regular,R Credit Manager,1/1/2017,,,,,,,,,,,,3,,No,,,,,
57281,I,Department 13,Employee ID24,Employee Name24,Employee Name24,EmployeeName24@abc.com,United States,,,United States,,Y,Regular,SPG Specialist,6/6/2008,,,,,,,,,,,,9,,No,,,,,
182949,I,Department 4,Employee ID25,Employee Name25,Employee Name25,EmployeeName25@abc.com,Hong Kong,,,Hong Kong,,Y,Regular,Sales Manager,4/6/2016,,,,,,,,,,,,8,,No,,,,,
140655,I,Department 9,Employee ID26,Employee Name26,Employee Name26,EmployeeName26@abc.com,Mexico,,,Mexico,,Y,Regular,Operations Manager,5/6/2014,,,,,,,,,,,,8,,No,,,,,
42984,I,Department 14,Employee ID30,Employee Name30,Employee Name30,EmployeeName30@abc.com,Netherlands,,,Netherlands,,Y,Regular,Account Payable Specialist,6/26/2009,,,,,,,,,,,,8,,Yes,,,,,
149191,I,Department 2,Employee ID31,Employee Name31,Employee Name31,EmployeeName31@abc.com,United States,,,United States,,Y,Regular,Dc Manager,3/27/2015,,,,,,,,,,,,4,,Yes,,,,,
37954,I,Department 15,Employee ID33,Employee Name33,Employee Name33,EmployeeName33@abc.com,Spain,,,Spain,,Y,Regular,Asst Import Purchaser,6/26/2009,,,,,,,,,,,,8,,Yes,,,,,
98776,I,Department 5,Employee ID34,Employee Name34,Employee Name34,EmployeeName34@abc.com,Poland,,,Poland,,Y,Regular,Account Payable Specialist,8/10/2009,,,,,,,,,,,,8,,Yes,,,,,
